Story Code,Annotator #1 Code,Annotator #2 Code,Story Title,Plot Summary,Content warnings,Author Code,Second author code (if applicable),Investigation-reveal order,Reveal border sentence,Name of Detective #1,Detective #1 Gender,Detective #1 Role,Name of Detective #2,Detective #2 Gender,Detective #2 Role,Number of detectives if more than 2,Name of Assistant #1,Assistant #1 Gender,Assistant #1 Role,Name of Assistant #2,Assistant #2 Gender,Assistant #2 Role,Number of assistants if more than 2,Number of victims of gender Male,Number of victims of gender Female,Number of victims of gender Non-binary,Number of victims of gender Unknown,Number of victims who are corporate entities,Number of culprits of gender Male,Number of culprits of gender Female,Number of culprits of gender Non-binary,Number of culprits of gender Unknown,Culprits introduced during reveal?,Main culprit independence,Initiator of investigation,Role of police,Focus on crime or quasi-crime,Crime trajectory,Occurrence of crime or mystery,Types of qrimes,Motives,Means (murder only),Sufficient clues to guess?,Sufficient clues to solve?,Correct annotator guess?,Types of clues,Essential clue,Type of essential clue,Most salient clue,Type of most salient clue,Red herring description,Type of red herring,Presence of planted or fabricated evidence,Types of evidence made available,Is the crime solved?,Decision NOT to alert authorities?,Satisfying narrative account?,How satisfying as detective fiction?,Recommend to friend?,Date of First Publication (YYYY-MM-DD),Format of First Publication (Journal or Book),Name of Journal or Title of Book
CKS03,MS,AMB ,The Bacteriological Detective,"The beautiful Miss Eveline Bisbee seeks Craig Kennedy’s help when her wealthy guardian dies of typhoid. Is there a new outbreak of typhoid in the city, or is there something more sinister afoot?",,ABR,,Standard,"Promptly at nine we were assembled, a curious crowd.",Craig Kennedy,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,3,0,0,5,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,No qrime → qrime,"Before the investigation, During the investigation","Murder, Fraud, Forgery",Greed,"Indirectly, by an elaborate device, Other",Yes,Yes,Yes,"Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","Handwriting on both the will and the recommendation letter indicated heart disease, which Mr. Bisbee did not suffer from. ",Physical clue,"The modifications to the will, which benefited James Denny.",Testimonial clue,Bridget handled the water bottles in which typhoid bacteria was found.,Physical clue,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,1911-02,Journal,Cosmopolitan
PVDS44,CC,SK,The Mystery of the Grip of Death,"When a man is suddenly found murdered naked in a closed room with no possible exits, the Thinking Machine delves into this case of love and absurdity as we read one of Futrelle’s most unpredictable stories yet.",,JF,,Standard,"""Well, who did kill Boyd?"" asked Hatch, amazed.",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,1,0,0,0,0,0,0,0,0,,,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Quasi-crime,Qrime → no qrime,Before the investigation,Suspected murder,Love,"Asphyxiation, Accident",Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",The rats in the building,Physical clue,The fact the doors were closed when the man died,Physical clue,The argument between Cunningham and Boyd,Testimonial clue,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,1907,Book,The Thinking Machine
PVDS45,CC,SK,The Mystery of the Man Who Was Lost,"Suddenly finding himself in a hotel room with an unfamiliar name and $10,000 in cash, the victim has no idea who he is or what kind of predicament led to his current situation; that’s for Professor Van Dusen to find out.",,JF,,Standard,"""Put your best man to follow her,"" he directed rapidly. ",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,1,0,0,0,1,2,1,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,No qrime → qrime,Before the investigation,"Fraud, Assault, Forgery",Greed,,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The telegram that Mr.Bell was at the city,Physical clue,The shoes under the name of Preston Bell,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,1907,Book,The Thinking Machine
PVDS46,CC,SK,The Mystery of a Studio,"When the subject of one of the most praised art pieces of London suddenly disappears, the Thinking Machine once again uses his deductive skills to make sense of a jealous lover’s mysterious letter and a sudden burglary.",,JF,,Standard,"""Now, Mr. Hatch, I suppose you want some details,"" said The Thinking Machine, as he relapsed into his accustomed attitude.",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,2,1,0,0,0,2,0,0,0,No,Acts alone,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Kidnapping, Breaking and entering","Jealousy, Love, Pride","Poison, Firearm",Yes,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The door being burst in during the robbery,Physical clue,Grace’s resemblance to the painting,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,1907,Book,The Thinking Machine
PVDS47,CC,SK,The Mystery of the Ralston Bank Burglary,"When money suddenly goes missing from a bank safe and a man is found beaten almost to death, nobody is to be trusted. Who was responsible for this robbery, and what does violet perfume have to do with it?",,JF,,Standard,"That night the little ""party"" was held in the apartments of The Thinking Machine.",Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,1,0,0,0,2,3,1,0,0,Yes,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Theft, Fraud, Mischief, Breaking and entering",Greed,,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The violet perfume on the handkerchief,Physical clue,The disheveled apartment,Physical clue,,,"Planted, Fabricated","Testimonial evidence, Physical evidence",Yes,No,Yes,5,Yes,1907,Book,The Thinking Machine
PVDS48,CC,SK,The Mystery of the Scarlet Thread,"A man is nearly murdered by a gas leak in his apartment on four separate occasions, and a young French maid in the same building is found dead of the same cause. Who is responsible for this crime? This story will leave you hanging by a thread!",,JF,,Standard,For a long time no one spoke. The Thinking Machine had dropped back into a chair and was staring through his thick glasses at the ceiling; his finger tips were pressed tightly together.,Augustus Van Dusen,Male,Independent amateur,,,,,Hutchinson Hatch,Male,Independent amateur,,,,,1,1,0,0,0,1,1,0,0,No,Acts mostly alone with some assistance,The assistant(s),"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Blackmail, Assault","Jealousy, Pride","Firearm, Asphyxiation",Yes,No,No,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The thread from the bathrobe,Physical clue,"The valet being french, along with the maid ",Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,No,1907,Book,The Thinking Machine
CKS15,MS,SK ,The Master Counterfeiter,"Tom Burke of the Secret Service comes to Craig Kennedy with three masterful counterfeits—a hundred dollar bill, a five-pound note, and an express-money order—and a strange tale of a man whose fingerprints did not match his files upon his second arrest. How can this couple lead a counterfeit scam in daylight and yet manage to elude capture?",,ABR,,Standard,"""Here,"" he began, ""we have the finger-prints of a man who was one of the most noted counterfeiters in Great Britain.",Craig Kennedy ,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,0,0,0,0,4,1,1,0,0,No,Acts together with one or more equal partners,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Fraud, Assault, Forgery",Greed,,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",Lump of paraffin found in the drawer.,Physical clue,Items found in the drawer of the Riverwood house.,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1912-02,Journal,Cosmopolitan
CKS16,MS,SK,The Firebug (The Firefiend) ,"A curious epidemic of fires takes over London, lacking any possible criminal or clear motive. Chief Fire Marshall McCormick thinks it’s a firebug—a pyromaniac who sets fires for the sheer joy of destruction. But why is he targeting all the buildings controlled by Staceys, the department store firm?",,ABR,,Standard,"WHEN next I saw Kennedy it was late in the afternoon, in the laboratory.",Craig Kennedy,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,2,1,0,4,1,6,1,0,0,No,Acts on behalf of a crime syndicate,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Fraud, Mischief","Greed, Revenge, Paranoia","Arson, Knife/sword",Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)","Notes given in favour of Rebecca Wend, signed by Joseph Stacey.",Physical clue,The murder of Rebecca Wend. ,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1912-03,Journal,Cosmopolitan
CKS17,MS,SK,The Yeggman,"When a string of pearls worth a million francs is stolen, leaving behind a chloroformed maid and a blown out safe, Professor Kennedy delves into the case only to cross paths with one of the most ingenious and unexpected criminals yet. Strangely, Mrs. Branston doesn’t seem very keen to have the pearls returned.",,ABR,,Standard,I caught myself as in a dream.,Craig Kennedy,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,4,2,0,0,0,4,0,0,0,No,Acts mostly alone with some assistance,A private client,Police are present and contribute significantly to solving the crime,Crime,Qrime → same qrime,Before the investigation,"Murder, Theft, Assault, Kidnapping, Breaking and entering",Greed,Accident,No,No,No,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",Photo of Maloney planting pearls in the safe. ,Physical clue,Gay Cat's testimony regarding a big haul.,Testimonial clue,"Mrs. Branston doesn’t cooperate with the investigation, and doesn’t seem keen on having those pearls returned. ",Testimonial clue,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1912-04,Journal,Cosmopolitan
CKS18,MS,SK,The Poisoned Pen,"Murder, past lovers, and strange letters! When Miss Lytton is found dead with an incriminating letter lying on her desk, Professor Kennedy works to discover if this letter is telling the truth or if there’s possibly more to this case at hand.",,ABR,,Standard,"""In many respects this is the most remarkable case that it has ever been my lot to handle,"" began Kennedy.",Craig Kennedy,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,2,1,0,0,0,2,0,0,0,No,Acts alone,A private client,Police are present and contribute significantly to solving the crime,Crime,Qrime → same qrime,Before the investigation,"Murder, Fraud, Forgery","Greed, Jealousy, Pride",Poison,No,No,No,"Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable)",The telegram from Kerr and Kimmel about who their client is.,Physical clue,The strange colour of Vera Lytton's ink.,Physical clue,"The note from Thurston, asking about headache-medicine.",Physical clue,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,No,1912-05,Journal,Cosmopolitan
ATT01,CC,SK,The Queensferry Mystery,"After a series of serious burglaries, ranging from missing jewelry to valuable silver being stolen, Detective Tatlock comes to the scene to help Mrs. Bertha Wylie recover her goods. However, twist after turn, we soon find out that things may be a lot more complicated than expected.",,JEPM,,Standard,That afternoon Tyler Tatlock entered Mr. Scott's office.,Tyler Tatlock,Male,Independent professional (agency),,,,,,,,,,,,2,2,0,0,0,1,1,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Theft, Assault, Breaking and entering",Greed,,No,No,No,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The interview with Mrs. Wylie,Testimonial clue,Mrs. Wylie’s suspicious behaviour,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,No,1,No,1900-11,Book,The Adventures of Tylor Tatlock
ATT02,CC,SK,The Clue of the Silver Jug,"A man is found dead in a field, poisoned by oxalic acid. After a container of acid is found in his pocket, the death is ruled as a suicide; however, conflicting evidence is brought to light by Tyler Tatlock!",,JEPM,,Standard,The initial point which gave Tatlock his clue was the clean soles of the dead man's boots.,Tyler Tatlock,Male,Independent professional (agency),,,,,,,,,,,,1,0,0,0,0,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,No qrime → qrime,Before the investigation,"Murder, Theft, Assault",Greed,Poison,No,No,No,"Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",Mr.Graveling’s check found in the writing desk,Physical clue,The shopkeeper’s suspicious behaviour and insistence on purchasing the silver jug,Testimonial clue,,,Planted,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1900-11,Book,The Adventures of Tylor Tatlock
ATT03,CC,SK,Tracing a Traitor,"In a time of high tensions between Russia and Britain, the English government learns that Russia is consistently being informed of their plans and operations and that important drawings have gone missing. Detective Tatlock appears, looking for this invisible traitor.",,JEPM,,Standard,"Well, I believe they are both in Paris,' remarked the lady, with a wave of her white jewelled hand, as if she meant to convey that the discussion was closed, and she dismissed the subject and her unwelcome visitor at the same time.",Tyler Tatlock,Male,Independent professional (agency),,,,,,,,,,,,1,0,0,0,1,2,2,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Theft, Fraud",Ideology,,Yes,No,Yes,Usable in real time (usable → usable),The relations between Countess X and Trapmore and Petrovitch,Testimonial clue,The envelope left behind,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,1900-11,Book,The Adventures of Tylor Tatlock
ATT04,CC,SK,The Big Loan Fraud,"A man is suddenly arrested under the charges of conspiracy, fraud, and forgery after attempting to obtain a loan, which ultimately leads to a trail of criminal pasts, an insane asylum, family tensions, and betrayal!",,JEPM,,Standard,"I hold a warrant for your arrest on a charge of conspiracy, fraud, and forgery.'",Tyler Tatlock,Male,Independent professional (agency),,,,,,,,,,,,1,0,0,0,1,4,0,0,0,No,Acts together with one or more equal partners,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,No qrime → qrime,Before the investigation,"Fraud, Bribery, Forgery",Greed,,No,No,No,"Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The agreement document,Physical clue,The family history of Colonel Pritchard,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,No,1,No,1900-11,Book,The Adventures of Tylor Tatlock
CKS04,CC,SK,(The Story of) The Deadly Tube,"When a woman undergoing x-ray therapy for her skin dermatitis gets a horrible reaction, she blames her doctor, whose life is about to fall apart as a result of this news! However, things are not as they seem, as Craig Kennedy soon finds out!",,ABR,,Standard,That night six men gathered in Kennedy’s laboratory.,Craig Kennedy,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,0,1,0,0,0,3,0,0,0,No,Acts mostly alone with some assistance,A private client,Police are not present,Crime,Qrime → same qrime,"Before the investigation, During the investigation",Assault,"Greed, Pride",,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The substance found in the room,Physical clue,The suspicious behaviour of Mr. Chase and the lawyers,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,1911-03,Journal,Cosmopolitan
CKS35,CC,SO,The Bomb-Maker,"In a city populated by cocaine addicts, District Attorney Carton finds himself in his office with a mail bomb. Rather than calling for the bomb squad, Carton calls for the help of Professor Kennedy. Can Kennedy get to the bottom of this case?",,ABR,,Standard,CARTON looked at Kennedy in amazement. Haddon was the last person in the world whom he had evidently expected to discover here.,Craig Kennedy,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,2,1,0,0,0,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Theft, Kidnapping, Trafficking","Greed, Insanity",Poison,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- newly usable clue (illegible → usable)",The workplace where the bomb was made,Physical clue,Lorraine’s testimony about Haddon,Testimonial clue,The testimony about Cocaine Brodie,Testimonial clue,,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,1913-11,Journal,Cosmopolitan
CKS36,CC,SO,The Ghouls,"Montague Phelps is a rich, newly married gentleman who indulges in various travels. However, his luck turns when his bank wipes out his fortune. Following this, Phelps enters a coma and dies, after which his grave is robbed. Can Professor Kennedy discover what caused this change of fate?",orientalism,ABR,,Standard,"We found Kennedy heating a large mass of some composition of rubber, such as dentists use in taking impressions of the teeth.",Craig Kennedy,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,1,0,0,0,1,2,1,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → no qrime,"Before the investigation, During the investigation","Suspected murder, Fraud, Blackmail, Mischief, Breaking and entering",Greed,"Poison, Accident",Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The poison test and the X-ray performed on the body,Physical clue,The suspicious behavior of Mrs. Phelps,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,3,Yes,1913-12,Journal,Cosmopolitan
CKS39,CC,SO,The Billionaire Baby,"A woman is plagued with dark dreams about the death of her child, who has an inheritance that many would die for! Craig Kennedy is put on the case to get to the root of her dark dreams!",,ABR,,Standard,"""Doctor Maudsley,"" said Craig, ""I have asked you to call alone because, while I, am on the verge of discovering the truth in an important case affecting Morton Hazleton and his wife, I am frankly perplexed as to how to go ahead.""",Craig Kennedy,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,0,1,0,0,0,1,1,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Quasi-crime,No qrime → qrime,Before the investigation,"Murder, Fraud, Assault, Kidnapping","Greed, Jealousy, Pride",Poison,Yes,No,No,"Illegible and never usable (illegible → never usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",The fingerprints of the child compared to the women,Physical clue,The suspicious behaviour of Veronica,Testimonial clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1914-02,Journal,Cosmopolitan
CKS40,CC,SO,The Radium Robber,"When millions of dollars worth of radium goes missing from a safe, Craig Kennedy must apply his ""rad"" skills in order to determine the whereabouts of the chemicals!",,ABR,,Standard,"I did so, found the switch, and turned on the lights. It was Denison himself!",Craig Kennedy,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,1,1,0,0,1,1,0,0,2,No,Acts mostly alone with some assistance,A private client,Police are not present,Crime,Qrime → different qrime,"Before the investigation, During the investigation","Theft, Fraud, Assault",Greed,,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The open safe,Physical clue,The radioscopes lack of readings,Testimonial clue,The bandages on Henry and his recent bout of cancer,Physical clue,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1914-03,Journal,Cosmopolitan
CKS41,CC,SO,The Eugenic Bride,"A man’s wife-to-be seems to be getting ill, and this is thought to be a result of her bad genetics. His family is largely involved in eugenics and wants him to marry the best person possible for him. Will these gene-crossed lovers find true happiness and live happily ever after?",eugenics,ABR,,Standard,"WE arrived almost as the clock was striking, Kennedy carrying the phonograph record and another blank record, and a boy tugging along the machine itself.",Craig Kennedy,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,0,1,0,0,0,1,1,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,No qrime → qrime,"Before the investigation, During the investigation","Murder, Assault",Greed,,Yes,No,Yes,"Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The voice matching technology,Physical clue,The poisoning of Edith (i.e. sudden illness due to ‘bad genetics’),Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1914-04,Journal,Cosmopolitan
CKS25,WW,JM,The Kleptomaniac,"During holiday season, a spree of shoplifting has the high-end department stores of New York at their wit’s end. One of the suspects implicated in the thefts is Mrs. William Willoughby, a woman of unassailable wealth and reputation.",,ABR,,Standard,"Kennedy leaped directly into the middle of things with his characteristic ardor. ""You recall,"" he began, ""that no one seemed to know just who took the jewels in both the cases you first reported? 'Seeing is believing,' is an old saying, but in the face of such reports as you detectives gathered it is in a fair way to lose its force. And you were not at fault, either, for modern psychology is proving by experiments that people do not see even a fraction of the things they confidently believe they see.",Craig Kennedy ,Male,Independent amateur,,,,,Walter Jameson ,Male,Independent amateur,,,,,0,0,0,0,2,0,2,0,0,No,Acts together with one or more equal partners,A private client,Police are not present,Crime,Qrime → same qrime,"Before the investigation, During the investigation","Theft, Forgery","Greed, Crime-for-crime's-sake, Insanity",,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The theft captured on camera by Craig Kennedy ,Physical clue,The phone call between the two ladies,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,1912-12,Journal,Hearst's Magazine
CKS26,WW,JM,The Opium Joint,"Former actress Bertha Curtis is found dead in the harbour with a bullet in her calf. While some police officers suspect suicide, Curtis had been known to frequent the crime square of Chinatown, and her death might have something to do with disturbing developments in New York’s opium trade.",,ABR,,Standard,"""Real tong leader,"" added Craig, ""and the murderer of the white girl to whom he was engaged. This is the goggled chauffeur of the red car that met the smuggling boat, and in which Bertha Curtis rode, unsuspecting, to her death.""",Craig Kennedy ,Male,Independent amateur,,,,,Walter Jameson ,Male,Independent amateur,,,,,2,1,0,0,0,2,0,0,0,No,Acts mostly alone with some assistance,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Assault, Trafficking",Greed,"Poison, Firearm, Asphyxiation",No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable)",The bullets' identifying markings,Physical clue,The victim being engaged to Chin Jung,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,No,2,No,1913-01,Journal,Hearst's Magazine
CKS27,WW,JM,The Vampire,"Bradley Cushing, a chemist with a patent pending for an artificial rubber synthesis process, is found dead in his laboratory, with a cut through an arterial vein. In a town deeply invested in the natural rubber industry, too many have a stake in Cushing’s death.",,ABR,,Standard,The laboratory was darkened and Kennedy took his place beside an electric moving picture apparatus.,Craig Kennedy ,Male,Independent amateur,,,,,Walter Jameson ,Male,Independent amateur,,,,,1,0,0,0,0,1,0,0,0,No,Acts alone,A private client,Police are not present,Crime,Qrime → different qrime,Before the investigation,"Murder, Theft, Assault","Revenge, Insanity",Knife/sword,Yes,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- newly usable clue (illegible → usable)",Dr. Harris' blood,Physical clue,Dr. Harris' anemia,Physical clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,1913-02,Journal,Hearst's Magazine
CKS28,WW,JM,The Green Curse,"Someone seems to be obsessed with the green art pieces a museum contains, either stealing or vandalizing them. Miss White, one of the curators, is convinced that these mischiefs are linked with the presence of Ka’s sarcophagus, an Egyptian priestess of Thebes, whose green eyes appear to truly be hypnotic.",,ABR,,Standard,It is only recently that our own government placed a ban on the importation of that stuff as a result of the decision of the Department of Agriculture that it was dangerous to health and conflicted with the pure food law.,Craig Kennedy ,Male,Independent amateur,,,,,Walter Jameson ,Male,Independent amateur,,,,,1,0,0,0,0,1,0,0,0,No,Acts alone,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation, After the investigation","Murder, Theft, Mischief, Breaking and entering","Greed, Revenge, Jealousy, Ideology, Insanity",Explosives,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Ex post -- new clue (not mentioned → usable)",The absinth found in Edouard Delaverde’s room,Physical clue,The note left by Miss. White,Physical clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1913-04,Journal,Cosmopolitan
CKS29,WW,JM,The Sybarite,"Actress Blanche Blaisdell is poisoned with phosphorus in Novella, a beauty parlour. That same night, a doctor finds an incoherent young woman wandering the streets.",,ABR,,Standard,At last he was ready to begin.,Craig Kennedy ,Male,Independent amateur,,,,,Walter Jameson ,Male,Independent amateur,,,,,0,1,0,0,0,0,1,0,0,No,Acts alone,The police,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,Before the investigation,"Murder, Forgery","Revenge, Jealousy",Poison,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",The testing of the suspects' heartbeats,Physical clue,The wife was also going to the parlour,Testimonial clue,,,Fabricated,"Testimonial evidence, Physical evidence",Yes,Yes,Yes,2,No,1913-05,Journal,Cosmopolitan
CKS30,WW,JM,The Phantom Circuit,"A millionaire has been receiving threatening letters from a secret organization and says he hears voices coming from the ceiling of his desk, while he had made it absolutely soundproof. Fearing spies and doubting all those around him, he calls for Craig Kennedy.",,ABR,,Standard,"""It is the voice I heard last night,""",Craig Kennedy ,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,1,1,0,0,0,2,0,0,0,Yes,Acts on behalf of a crime syndicate,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → different qrime,"Before the investigation, During the investigation, After the investigation","Murder, Blackmail, Assault, Kidnapping",Ideology,Poison,No,No,No,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Ex post -- new clue (not mentioned → usable)",The hidden circuit that transmitted the audio into the soundproof room.,Physical clue,The presence of the leader of the brotherhood in town ,Testimonial clue,,,,"Testimonial evidence, Physical evidence",Yes,No,Yes,2,No,1913-06,Journal,Cosmopolitan
CKS42,CC,SO,The Dead-Line,"A woman has lost the jewels given to her by her husband, and she is afraid of what he may do if he finds out the truth! In a tale of gambling, deceit, mysterious death, and poroscopy, Craig Kennedy must figure out what has happened to these precious artifacts!",,ABR,,Standard," A glance had told her, if she had deceived herself before, that Kennedy knew her secret.",Craig Kennedy,Male,Independent amateur,,,,,Walter Jameson,Male,Independent amateur,,,,,1,1,0,0,0,3,1,0,0,No,Acts mostly alone with some assistance,A private client,"Police are present but with no role, or only a minor role, in helping solve the crime",Crime,Qrime → same qrime,"Before the investigation, During the investigation","Murder, Suspected murder, Theft, Blackmail, Assault, Forgery, Breaking and entering","Greed, Love, Self-defence",Natural causes,Yes,No,Yes,"Legible but not usable (legible → not usable), Usable in real time (usable → usable), Usable only in retrospect (legible → usable), Red herring (usable → legible), Ex post -- new clue (not mentioned → usable), Ex post -- newly usable clue (illegible → usable)",The forehead print of Lynn,Physical clue,The behaviour of Antoinette,Testimonial clue,The gambling debts,Testimonial clue,,"Testimonial evidence, Physical evidence",Yes,No,Yes,4,Yes,1914-05,Journal,Cosmopolitan
